input_name,status,height,solve_time,rotation
1,OPTIMAL,8.0,0.011,
2,OPTIMAL,9.0,0.001,
3,OPTIMAL,10.0,0.001,
4,OPTIMAL,11.0,0.001,
5,OPTIMAL,12.0,0.002,
6,OPTIMAL,13.0,0.002,
7,OPTIMAL,14.0,0.002,
8,OPTIMAL,15.0,0.003,
9,OPTIMAL,16.0,0.003,
10,OPTIMAL,17.0,0.003,
11,OPTIMAL,18.0,20.342,
12,OPTIMAL,19.0,0.005,
13,OPTIMAL,20.0,0.401,
14,OPTIMAL,21.0,1.11,
15,OPTIMAL,22.0,2.184,
16,OPTIMAL,23.0,0.0099999999999999,
17,OPTIMAL,24.0,0.009,
18,NO_SOLUTION,,,
19,NO_SOLUTION,,,
20,NO_SOLUTION,,,
21,NO_SOLUTION,,,
22,NO_SOLUTION,,,
23,OPTIMAL,30.0,0.06,
24,OPTIMAL,31.0,0.012,
25,NO_SOLUTION,,,
26,NO_SOLUTION,,,
27,OPTIMAL,34.0,0.333,
28,OPTIMAL,35.0,0.0209999999999999,
29,OPTIMAL,36.0,0.0209999999999999,
30,NO_SOLUTION,,,
31,OPTIMAL,38.0,0.01,
32,NO_SOLUTION,,,
33,OPTIMAL,40.0,0.012,
34,NO_SOLUTION,,,
35,OPTIMAL,40.0,9.952,
36,OPTIMAL,40.0,0.158,
37,NO_SOLUTION,,,
38,OPTIMAL,60.0,242.422,
39,NO_SOLUTION,,,
40,NO_SOLUTION,,,
